Day,Date,PlantID,plantheightcm,OLlength(cm),OLwidth(cm),MRFLlength(cm),MRFLwidth(cm),numberofleaves,RGR_plantheightcm,RGR_OLlength(cm),RGR_OLwidth(cm),RGR_MRFLlength(cm),RGR_MRFLwidth(cm),RGR_numberofleaves
0,25-Jan,1,9.8,9,4.3,1.8,1.1,4,0,0,0,0,0,0
2,27-Jan,1,9.9,10.4,4.9,2.6,1.9,4,0.05,0.7,0.3,0.4,0.4,0
7,1-Feb,1,18.7,12.7,5.5,10,7,7,1.76,0.46,0.12,1.48,1.02,0.6
9,3-Feb,1,20.1,12.1,5.2,5.3,2.9,10,0.7,-0.3,-0.15,-2.35,-2.05,1.5
14,8-Feb,1,32.6,12.9,5.4,7.1,4.9,12,2.5,0.16,0.04,0.36,0.4,0.4
21,15-Feb,1,46.1,12,4.6,6.7,4.2,16,1.928571429,-0.128571429,-0.114285714,-0.057142857,-0.1,0.571428571
0,25-Jan,2,7.5,4.4,2.7,6.9,3,4,0,0,0,0,0,0
2,27-Jan,2,8.6,8.6,3.4,6.9,3.9,4,0.55,2.1,0.35,0,0.45,0
7,1-Feb,2,15,9.4,3.9,6.4,4,8,1.28,0.16,0.1,-0.1,0.02,0.8
9,3-Feb,2,18.8,10.2,5.1,3.6,2.3,10,1.9,0.4,0.6,-1.4,-0.85,1
14,8-Feb,2,33.8,9.9,4.8,6,3.4,14,3,-0.06,-0.06,0.48,0.22,0.8
2,27-Jan,3,6,2.3,1.8,2.3,1.8,2,2.316666667,0.633333333,0.25,0.308333333,0.133333333,1
7,1-Feb,3,7.4,5.5,4.5,5.5,4.5,2,0,0,0,0,0,0
9,3-Feb,3,8.1,6.4,5.8,6.4,5.8,2,0.05,0.7,0.3,0.4,0.4,0
14,8-Feb,3,9.5,7.3,6.8,4.7,5.8,4,1.76,0.46,0.12,1.48,1.02,0.6
2,27-Jan,4,6.2,2.7,2.1,2.7,2.1,2,0,0,0,0,0,0
7,1-Feb,4,7.8,6,5.3,6,5.3,2,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,4,8.9,6.9,6.5,6.9,6.5,2,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,4,11.3,7.9,8.1,5.5,6.3,4,0.7,-0.3,-0.15,-2.35,-2.05,1.5
23,17-Feb,4,15.6,4.3,7,10.1,13,8,2.5,0.16,0.04,0.36,0.4,0.4
0,25-Jan,5,8.2,4.3,3.2,2.9,2,4,0,0,0,0,0,0
2,27-Jan,5,9.5,6.2,4.9,4.5,3.2,4,0.05,0.7,0.3,0.4,0.4,0
7,1-Feb,5,12.2,10.1,7.9,6.8,5.6,6,1.76,0.46,0.12,1.48,1.02,0.6
9,3-Feb,5,13.3,10,8.4,5.2,4.1,7,0.7,-0.3,-0.15,-2.35,-2.05,1.5
14,8-Feb,5,25.1,10.9,8.8,6.1,5,12,2.5,0.16,0.04,0.36,0.4,0.4
0,25-Jan,6,5.4,7.2,4.5,3.7,2.8,4,0,0,0,0,0,0
