PlantID,FreshMassg,DryMassg,WatercontentPercent,LeafAreapix,InfLeafareapic,MockAreapix,NROTareapix,944Areapix,PepperAreapix,LeafAreacm,InfLeafareacm,MockAreacm,NROTareacm,944Areacm,PepperAreacm,LMAmgmm
1,2.27,0.409,0.8198237885,1311984,1036868,931,909,818,997,36.51777328,28.86019231,0.02591346154,0.02530111336,0.02276821862,0.02775050607,0.01120002572
3,3.77,0.77,0.7957559682,2347114,2300362,3341,1929,2519,6132,65.32959008,64.02829453,0.09299342105,0.05369180162,0.0701138664,0.1706781377,0.01178638958
4,4.27,0.85,0.8009367681,2689766,2412482,1401,813,977,1888,74.86696862,67.14904352,0.03899544534,0.02262904858,0.02719382591,0.05255060729,0.01135347157
5,2.57,0.533,0.7926070039,1676840,1295060,748,1353,885,475,46.67317814,36.04671053,0.02081983806,0.03765941296,0.02463309717,0.01322115385,0.01141983514
12,4.45,0.952,0.7860674157,2968332,2895322,2678,2044,860,4034,82.62057692,80.58841599,0.07453947368,0.05689271255,0.02393724696,0.1122823887,0.01152255328
15,2.56,0.5422,0.788203125,1802328,1857738,791,820,878,1595,50.16601215,51.70829453,0.0220167004,0.02282388664,0.02443825911,0.04439524291,0.01080811443
16,4.01,0.851,0.7877805486,2316564,1513274,1320,2961,1361,3413,64.47926113,42.12048077,0.03674089069,0.08241649798,0.03788208502,0.09499746964,0.01319804205
16,3.02,0.844,0.7205298013,1732886,2494950,1545,2869,1980,2199,48.23316296,69.4444585,0.04300354251,0.07985576923,0.05511133603,0.06120698381,0.0174983341
20,1.07,0.26,0.7570093458,899428,1879652,1774,1776,1121,2558,25.03468623,52.31824899,0.04937753036,0.04943319838,0.03120192308,0.07119939271,0.01038559052
21,3.97,0.965,0.7569269521,2330998,2228082,1309,1628,3450,3680,64.88101721,62.01645243,0.0364347166,0.04531376518,0.09602732794,0.1024291498,0.01487337963
22,3.25,0.839,0.7418461538,2001888,2268296,1847,783,669,311,55.7205668,63.13576923,0.05140941296,0.02179402834,0.01862095142,0.008656376518,0.01505727684
26,2.02,0.206,0.898019802,993886,1377004,1002,1202,2079,2938,27.66383097,38.32754049,0.02788967611,0.03345647773,0.05786690283,0.08177631579,0.007446546366
31,3.82,0.839,0.7803664921,2539606,2788092,1267,927,1635,4546,70.68741397,77.6037753,0.03526568826,0.02580212551,0.04550860324,0.1265334008,0.0118691568
32,2.37,0.635,0.7320675105,1915910,1946764,1443,1899,1377,4434,53.32745445,54.18624494,0.04016447368,0.05285678138,0.03832742915,0.1234159919,0.01190756256
33,2.08,0.313,0.8495192308,889258,1025794,1197,754,1715,1832,24.75161437,28.5519585,0.03331730769,0.02098684211,0.04773532389,0.05099190283,0.01264563981
34,1.5,0.175,0.8833333333,808768,979656,708,2495,658,2017,22.51125506,27.26775304,0.01970647773,0.0694458502,0.01831477733,0.05614119433,0.007773889085
35,1.09,0.168,0.8458715596,606366,771132,951,1875,2287,2581,16.87759615,21.46369433,0.0264701417,0.05218876518,0.06365637652,0.0718395749,0.009954024167
36,0.66,0.0724,0.8903030303,456702,940420,1759,1550,1715,2333,12.71184717,26.17565789,0.04896002024,0.04314271255,0.04773532389,0.06493674089,0.005695474391
37,1.65,0.193,0.883030303,869466,2134044,920,1051,1660,1464,24.20072368,59.39899798,0.02560728745,0.02925354251,0.04620445344,0.04074898785,0.007974968126
38,1.72,0.29,0.8313953488,1410536,1233914,1148,1989,1756,2341,39.26087045,34.34477227,0.0319534413,0.05536184211,0.04887651822,0.06515941296,0.007386489314
40,1.39,0.227,0.8366906475,692416,925662,734,1380,1661,3071,19.27271255,25.7648836,0.02043016194,0.03841093117,0.04623228745,0.08547823887,0.01177831088
43,3.99,0.948,0.762406015,2183476,1168982,808,1758,1188,2363,60.77488866,32.53745445,0.02248987854,0.04893218623,0.03306680162,0.06577176113,0.0155985477
45,3.24,0.654,0.7981481481,2368868,1922974,464,1895,617,6658,65.93509109,53.52407389,0.01291497976,0.05274544534,0.017173583,0.1853188259,0.009918845779
47,2.81,0.566,0.7985765125,2024466,1674776,1073,2072,4462,3631,56.34900304,46.61572874,0.02986589069,0.05767206478,0.1241953441,0.1010652834,0.01004454328
51,3.04,0.633,0.7917763158,2017088,770004,831,1565,1164,1688,56.14364372,21.43229757,0.02313006073,0.04356022267,0.03239878543,0.04698380567,0.0112746512
57,2.37,0.45,0.8101265823,2004516,2368384,1631,1900,1288,2577,55.79371457,65.92161943,0.04539726721,0.05288461538,0.03585020243,0.07172823887,0.008065424635
61,1.05,0.122,0.8838095238,690506,902684,917,2256,1184,1344,19.2195496,25.12531377,0.02552378543,0.06279352227,0.03295546559,0.03740890688,0.006347703384
62,0.95,0.0993,0.8954736842,674120,785640,1619,1993,553,2435,18.76346154,21.86751012,0.04506325911,0.05547317814,0.01539220648,0.06777580972,0.005292200471
63,1.45,0.11,0.924137931,743986,1254572,1295,880,1183,563,20.70811235,34.91976721,0.03604504049,0.02449392713,0.03292763158,0.01567054656,0.005311927913
64,1.65,0.158,0.9042424242,904612,1013050,1704,1952,3092,5806,25.17897773,28.1972419,0.0474291498,0.05433198381,0.08606275304,0.161604251,0.006275076045
65,1.25,0.223,0.8216,1106574,1405708,1284,1473,1712,1764,30.80038968,39.12648785,0.0357388664,0.04099949393,0.04765182186,0.04909919028,0.007240168139
69,1.69,0.341,0.7982248521,955718,1288720,1385,1136,819,1093,26.60146255,35.87024291,0.03855010121,0.0316194332,0.02279605263,0.03042257085,0.01281884405
70,0.8,0.068,0.915,385624,374576,1243,1128,1090,1875,10.73346154,10.42595142,0.03459767206,0.03139676113,0.03033906883,0.05218876518,0.006335328054
71,0.94,0.154,0.8361702128,836294,979472,1811,1875,1737,1844,23.27741397,27.26263158,0.05040738866,0.05218876518,0.04834767206,0.05132591093,0.00661585519
72,1,0.187,0.813,704932,1014252,2185,983,2009,1896,19.621083,28.23069838,0.06081730769,0.02736082996,0.05591852227,0.05277327935,0.00953056465
73,1.44,0.248,0.8277777778,809584,1510524,1287,1640,2380,1782,22.53396761,42.04393725,0.03582236842,0.04564777328,0.06624493927,0.04960020243,0.01100560737
74,2.49,0.455,0.8172690763,1417089,1655512,1629,3673,3234,4022,39.4432667,46.07953441,0.04534159919,0.1022343117,0.09001518219,0.1119483806,0.0115355557
75,0.83,0.0555,0.9331325301,361684,551680,893,1210,851,2671,10.06711538,15.35546559,0.02485576923,0.0336791498,0.02368674089,0.07434463563,0.005512999293
76,1.18,0.0624,0.9471186441,660684,1818514,2714,1215,1275,1665,18.38948381,50.6165334,0.07554149798,0.03381831984,0.03548836032,0.04634362348,0.003393243696
78,0.32,0.051,0.840625,326334,368112,664,4048,979,10098,9.083183198,10.24603239,0.01848178138,0.1126720648,0.02724949393,0.2810678138,0.005614771704
79,0.99,0.22,0.7777777778,733526,938922,1046,1949,1332,5942,20.41696862,26.13396255,0.02911437247,0.05424848178,0.03707489879,0.1653896761,0.01077535084
81,0.46,0.0906,0.8030434783,415474,441690,1105,1685,1079,3280,11.56430668,12.29400304,0.03075657895,0.04690030364,0.03003289474,0.09129554656,0.007834451516
82,0.48,0.118,0.7541666667,342248,377880,1525,2195,2139,4072,9.526133603,10.51791498,0.04244686235,0.06109564777,0.05953694332,0.113340081,0.01238697723
83,0.51,0.0762,0.8505882353,467574,460352,621,812,801,1064,13.0144585,12.8134413,0.01728491903,0.02260121457,0.02229504049,0.02961538462,0.005855026545
84,0.65,0.0972,0.8504615385,571374,645525,1023,1419,1140,2225,15.90362854,17.96754808,0.02847419028,0.03949645749,0.03173076923,0.06193066802,0.006111812769
85,0.46,0.812,-0.7652173913,492696,599998,897,2766,1033,3133,13.71370445,16.70034919,0.02496710526,0.0769888664,0.02875253036,0.08720394737,0.0592108429
86,0.75,0.122,0.8373333333,651412,615024,1320,1691,1129,1741,18.13140688,17.118583,0.03674089069,0.04706730769,0.03142459514,0.0484590081,0.006728656016
87,0.91,0.222,0.756043956,789028,933194,866,753,1029,3613,21.96181174,25.97452935,0.02410425101,0.0209590081,0.02864119433,0.1005642713,0.01010845565
89,0.63,0.0756,0.88,543890,711960,385,646,173,1001,15.13863866,19.8167004,0.01071609312,0.01798076923,0.004815283401,0.02786184211,0.004993844009
91,0.68,0.108,0.8411764706,571740,675950,111,1409,988,2027,15.91381579,18.81439777,0.003089574899,0.03921811741,0.0275,0.05641953441,0.006786555873
92,0.48,0.0632,0.8683333333,489300,529354,576,604,900,877,13.61918016,14.73404352,0.01603238866,0.01681174089,0.02505060729,0.0244104251,0.004640514278
93,1.77,0.324,0.8169491525,1218274,1248112,752,3725,1286,3920,33.90944838,34.73995951,0.02093117409,0.1036816802,0.03579453441,0.1091093117,0.009554859058
94,1.23,0.227,0.8154471545,875566,912388,1049,3261,2087,2454,24.37051113,25.39541498,0.02919787449,0.0907667004,0.0580895749,0.06830465587,0.009314535865
95,0.54,0.096,0.8222222222,465472,624094,2045,4868,3683,4404,12.95595142,17.37103745,0.05692054656,0.1354959514,0.1025126518,0.1225809717,0.007409722135
96,0.92,0.128,0.8608695652,749444,682870,1598,1159,901,1007,20.86003036,19.00700911,0.04447874494,0.03225961538,0.0250784413,0.02802884615,0.006136136802
97,1.07,0.151,0.8588785047,549572,485898,996,3623,2794,1930,15.2967915,13.52448887,0.02772267206,0.1008426113,0.07776821862,0.05371963563,0.009871351127
98,1.03,0.1183,0.8851456311,639890,349998,1358,1327,1103,1170,17.81070344,9.741847166,0.037798583,0.03693572874,0.03070091093,0.03256578947,0.006642073425
101,0.43,0.06,0.8604651163,273614,292050,388,1979,1567,3501,7.615774291,8.128922065,0.01079959514,0.05508350202,0.04361589069,0.09744686235,0.007878384745
102,0.35,0.048,0.8628571429,273462,332756,777,2083,1009,4897,7.611543522,9.261933198,0.02162702429,0.05797823887,0.02808451417,0.1363031377,0.006306211067
103,0.5,0.0334,0.9332,402654,430898,2140,1779,1651,3880,11.2074747,11.99361842,0.05956477733,0.0495167004,0.04595394737,0.1079959514,0.002980153951
105,1.61,0.181,0.8875776398,1030096,1196590,1044,1924,2270,3260,28.6717004,33.30589575,0.02905870445,0.05355263158,0.06318319838,0.0907388664,0.006312844981
106,1.44,0.171,0.88125,1171404,1042594,596,882,548,717,32.60486842,29.01956984,0.01658906883,0.02454959514,0.01525303644,0.01995698381,0.005244615552
107,1.64,0.26,0.8414634146,833768,997768,1367,1035,1046,1581,23.20710526,27.77188259,0.03804908907,0.02880819838,0.02911437247,0.0440055668,0.01120346536
109,2.24,0.252,0.8875,1169240,1341294,975,838,1622,3021,32.54463563,37.33358806,0.02713815789,0.02332489879,0.04514676113,0.08408653846,0.007743211597
113,3.04,0.4,0.8684210526,,1347398,2615,2128,1380,2127,0,37.50348684,0.07278593117,0.05923076923,0.03841093117,0.05920293522,#DIV/0!
118,2.63,0.178,0.9323193916,991134,1238292,626,1697,836,2141,27.58723178,34.46662955,0.01742408907,0.04723431174,0.02326923077,0.05959261134,0.006452260285
120,2.66,0.28,0.8947368421,1203380,1191656,849,955,796,835,33.49488866,33.16856275,0.02363107287,0.02658147773,0.02215587045,0.02324139676,0.008359484422
129,2.06,0.12,0.9417475728,818674,706852,1256,1430,1550,2025,22.78697874,19.67452429,0.03495951417,0.03980263158,0.04314271255,0.0563638664,0.005266165442
130,1.04,0.0542,0.9478846154,428978,654336,682,1458,1608,2349,11.94017713,18.21279352,0.01898279352,0.04058198381,0.04475708502,0.06538208502,0.004539296145
131,0.57,0.078,0.8631578947,320532,479738,466,788,674,1164,8.921690283,13.35303138,0.01297064777,0.02193319838,0.01876012146,0.03239878543,0.008742737925
132,0.73,0.0925,0.8732876712,412072,929454,1066,1703,1318,1571,11.46961538,25.87043016,0.02967105263,0.04740131579,0.03668522267,0.04372722672,0.00806478656
137,2.88,0.167,0.9420138889,936862,992104,748,1129,2245,3223,26.07662449,27.61423077,0.02081983806,0.03142459514,0.06248734818,0.0897090081,0.006404203122
138,2.4,0.309,0.87125,1025652,1187338,784,1532,1454,2483,28.54800607,33.04837551,0.02182186235,0.0426417004,0.04047064777,0.06911184211,0.01082387328
138,4.59,0.357,0.9222222222,792242,1029990,891,1232,1234,4031,22.05127024,28.66875,0.02480010121,0.03429149798,0.03434716599,0.1121988866,0.01618954355
139,1.14,0.205,0.8201754386,675328,931808,757,1759,945,1245,18.79708502,25.93595142,0.02107034413,0.04896002024,0.02630313765,0.03465334008,0.01090594631
141,0.45,0.0776,0.8275555556,296012,521378,2116,1149,1499,1286,8.239200405,14.51203947,0.05889676113,0.0319812753,0.04172317814,0.03579453441,0.009418389672
142,0.25,0.0306,0.8776,219924,1139260,1523,1636,712,2024,6.121366397,31.71017206,0.04239119433,0.04553643725,0.01981781377,0.05633603239,0.004998883912
143,1.91,0.337,0.8235602094,730516,745726,1042,1235,1033,1892,20.33318826,20.75654352,0.02900303644,0.034375,0.02875253036,0.05266194332,0.01657388874
144,2.23,0.284,0.8726457399,979990,1117618,1208,2362,1399,3409,27.2770496,31.10778846,0.03362348178,0.06574392713,0.03893977733,0.0948861336,0.01041168324
145,0.29,0.046,0.8413793103,217468,328720,1702,1428,878,2197,6.053006073,9.149595142,0.04737348178,0.03974696356,0.02443825911,0.06115131579,0.007599529795
147,0.25,0.0372,0.8512,195602,340070,1410,800,746,1073,5.444387652,9.465511134,0.03924595142,0.02226720648,0.02076417004,0.02986589069,0.006832724335
148,0.87,0.125,0.8563218391,533140,911632,1100,977,1438,1859,14.83942308,25.37437247,0.03061740891,0.02719382591,0.04002530364,0.05174342105,0.008423508067
150,0.47,0.0707,0.8495744681,290818,832366,1860,818,628,1113,8.094630567,23.16808198,0.05177125506,0.02276821862,0.01747975709,0.03097925101,0.008734184892
151,0.25,0.0416,0.8336,169574,258826,720,614,680,823,4.719924089,7.20416498,0.02004048583,0.01709008097,0.01892712551,0.02290738866,0.008813701071
152,0.82,0.1141,0.8608536585,460400,683714,1019,1828,1483,717,12.81477733,19.03050101,0.02836285425,0.0508805668,0.04127783401,0.01995698381,0.008903783271
153,0.67,0.0887,0.8676119403,415752,455684,1147,1585,875,2177,11.57204453,12.68351215,0.03192560729,0.04411690283,0.02435475709,0.06059463563,0.007665024079
156,0.43,0.0506,0.8823255814,232260,464556,1499,1517,2037,1715,6.464726721,12.93045547,0.04172317814,0.04222419028,0.05669787449,0.04773532389,0.00782709033
