Plant ID,Plant,Genotype
92,CommBean,BlackNightfall
91,CommBean,BlackNightfall
84,CommBean,BlackNightfall
83,CommBean,BlackNightfall
96,Cowpea,CB27
95,Cowpea,CB27
94,Cowpea,CB27
93,Cowpea,CB27
36,Spinaciaoleracea,CPPSIH301
35,Spinaciaoleracea,CPPSIH301
26,Spinaciaoleracea,CPPSIH301
25,Spinaciaoleracea,CPPSIH301
24,Spinaciaoleracea,CPPSIH301
23,Spinaciaoleracea,CPPSIH301
40,Spinaciaoleracea,CPPSIH307
39,Spinaciaoleracea,CPPSIH307
18,Spinaciaoleracea,CPPSIH307
17,Spinaciaoleracea,CPPSIH307
100,Cowpea,IT-97K
99,Cowpea,IT-97K
98,Cowpea,IT-97K
97,Cowpea,IT-97K
76,Spinaciaoleracea,NSL69515
75,Spinaciaoleracea,NSL69515
70,Spinaciaoleracea,NSL69515
69,Spinaciaoleracea,NSL69515
90,CommBean,Orca
89,CommBean,Orca
82,CommBean,Orca
81,CommBean,Orca
140,ApicumGray,PI222702
139,ApicumGray,PI222702
114,Carrot,PI288457
112,Carrot,PI288457
128,Carrot,PI306588
127,Carrot,PI306588
126,Carrot,PI306588
125,Carrot,PI306588
122,Carrot,PI306588
121,Carrot,PI306588
118,Spinaciaoleracea,PI360710
56,Spinaciaoleracea,PI360710
55,Spinaciaoleracea,PI360710
113,Beet,PI386360
134,Carrot,PI451758
68,Carrot,PI451758
67,Carrot,PI451758
133,Carrot,PI481758
107,Beet,PI486360
60,Beet,PI486360
59,Beet,PI486360
115,Carrot,PI502914
110,Carrot,PI502914
136,Carrot,PI508470
135,Carrot,PI508470
124,Carrot,PI508470
123,Carrot,PI508470
117,Carrot,PI508470
142,ApicumGray,PI587186
141,ApicumGray,PI587186
138,Beet,PI590725
137,Beet,PI590725
38,Beet,PI590725
37,Beet,PI590725
30,Beet,PI590725
29,Beet,PI590725
130,Spinaciaoleracea,PI604778
129,Spinaciaoleracea,PI604778
116,Spinaciaoleracea,PI604778
64,Spinaciaoleracea,PI604778
63,Spinaciaoleracea,PI604778
144,Beet,PI615525
143,Beet,PI615525
109,Beet,PI615525
34,Beet,PI615525
33,Beet,PI615525
10,HA,PI64277
9,HA,PI64277
6,HA,PI64277
5,HA,PI64277
2,HA,PI64277
1,HA,PI64277
62,Spinaciaoleracea,PI648962
61,Spinaciaoleracea,PI648962
54,Spinaciaoleracea,PI648962
53,Spinaciaoleracea,PI648962
42,Spinaciaoleracea,PI648962
41,Spinaciaoleracea,PI648962
119,Carrot,PI652231
111,Carrot,PI652231
108,Carrot,PI652231
132,ApicumGray,PI662464
131,ApicumGray,PI662464
14,Cotton,SA0281
13,Cotton,SA0281
12,Cotton,SA0281
11,Cotton,SA0281
4,Cotton,SA0281
3,Cotton,SA0281
19,Cotton,SA0582
50,Cotton,SA0852
49,Cotton,SA0852
46,Cotton,SA0852
45,Cotton,SA0852
20,Cotton,SA0852
74,Cotton,SA0874
73,Cotton,SA0874
72,Cotton,SA0874
71,Cotton,SA0874
66,Cotton,SA0874
65,Cotton,SA0874
22,Cotton,SA1071
21,Cotton,SA1071
16,Cotton,SA1071
15,Cotton,SA1071
8,Cotton,SA1071
7,Cotton,SA1071
52,Cotton,SA1588
51,Cotton,SA1588
48,Cotton,SA1588
47,Cotton,SA1588
28,Cotton,SA1588
27,Cotton,SA1588
58,Cotton,SA1611
57,Cotton,SA1611
44,Cotton,SA1611
43,Cotton,SA1611
32,Cotton,SA1611
31,Cotton,SA1611
104,Cowpea,Sanzi
103,Cowpea,Sanzi
102,Cowpea,Sanzi
101,Cowpea,Sanzi
88,CommBean,UCCran
87,CommBean,UCCran
80,CommBean,UCCran
79,CommBean,UCCran
106,Cowpea,UCR779
105,Cowpea,UCR779
86,CommBean,UCTigerEye
85,CommBean,UCTigerEye
78,CommBean,UCTigerEye
77,CommBean,UCTigerEye
